square,higher_geography_identifier,geographic_region__higher_geography
SJ18W,58,Cheshire
SJ18X,58,Cheshire
SJ18Y,58,Cheshire
SJ18Z,58,Cheshire
SJ19V,58,Cheshire
SJ28A,58,Cheshire
SJ28B,58,Cheshire
SJ28C,58,Cheshire
SJ28D,58,Cheshire
SJ28E,58,Cheshire
SJ29A,58,Cheshire
SJ29B,58,Cheshire
SJ27J,58,Cheshire
SJ28F,58,Cheshire
SJ28G,58,Cheshire
SJ28H,58,Cheshire
SJ28I,58,Cheshire
SJ28J,58,Cheshire
SJ29F,58,Cheshire
SJ29G,58,Cheshire
SJ27M,58,Cheshire
SJ27N,58,Cheshire
SJ27P,58,Cheshire
SJ28K,58,Cheshire
SJ28L,58,Cheshire
SJ28M,58,Cheshire
SJ28N,58,Cheshire
SJ28P,58,Cheshire
SJ29K,58,Cheshire
SJ29L,58,Cheshire
SJ29M,58,Cheshire
SJ27R,58,Cheshire
SJ27S,58,Cheshire
SJ27T,58,Cheshire
SJ27U,58,Cheshire
SJ28Q,58,Cheshire
SJ28R,58,Cheshire
SJ28S,58,Cheshire
SJ28T,58,Cheshire
SJ28U,58,Cheshire
SJ29Q,58,Cheshire
SJ29R,58,Cheshire
SJ29S,58,Cheshire
SJ27W,58,Cheshire
SJ27X,58,Cheshire
SJ27Y,58,Cheshire
SJ27Z,58,Cheshire
SJ28V,58,Cheshire
SJ28W,58,Cheshire
SJ28X,58,Cheshire
SJ28Y,58,Cheshire
SJ28Z,58,Cheshire
SJ29V,58,Cheshire
SJ29W,58,Cheshire
SJ29X,58,Cheshire
SJ37B,58,Cheshire
SJ37C,58,Cheshire
SJ37D,58,Cheshire
SJ37E,58,Cheshire
SJ38A,58,Cheshire
SJ38B,58,Cheshire
SJ38C,58,Cheshire
SJ38D,58,Cheshire
SJ38E,58,Cheshire
SJ39A,58,Cheshire
SJ39B,58,Cheshire
SJ39C,58,Cheshire
SJ36G,58,Cheshire
SJ37F,58,Cheshire
SJ37G,58,Cheshire
SJ37H,58,Cheshire
SJ37I,58,Cheshire
SJ37J,58,Cheshire
SJ38F,58,Cheshire
SJ38G,58,Cheshire
SJ38H,58,Cheshire
SJ38I,58,Cheshire
SJ38J,58,Cheshire
SJ39F,58,Cheshire
SJ39G,58,Cheshire
SJ35P,58,Cheshire
SJ36K,58,Cheshire
SJ36L,58,Cheshire
SJ36P,58,Cheshire
SJ37K,58,Cheshire
SJ37L,58,Cheshire
SJ37M,58,Cheshire
SJ37N,58,Cheshire
SJ37P,58,Cheshire
SJ38K,58,Cheshire
SJ38L,58,Cheshire
SJ38M,58,Cheshire
SJ38N,58,Cheshire
SJ35U,58,Cheshire
SJ36Q,58,Cheshire
SJ36R,58,Cheshire
SJ36S,58,Cheshire
SJ36T,58,Cheshire
SJ36U,58,Cheshire
SJ37Q,58,Cheshire
SJ37R,58,Cheshire
SJ37S,58,Cheshire
SJ37T,58,Cheshire
SJ37U,58,Cheshire
SJ38Q,58,Cheshire
SJ38R,58,Cheshire
SJ35X,58,Cheshire
SJ35Y,58,Cheshire
SJ35Z,58,Cheshire
SJ36V,58,Cheshire
SJ36W,58,Cheshire
SJ36X,58,Cheshire
SJ36Y,58,Cheshire
SJ36Z,58,Cheshire
SJ37V,58,Cheshire
SJ37W,58,Cheshire
SJ37X,58,Cheshire
SJ37Y,58,Cheshire
SJ37Z,58,Cheshire
